,,,,,,,,,
PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Ochai Agbaji,SG,5.40%,8.75,9.5,6' 4.50'',6' 5.75'',8' 8.00'',216.8,6' 10.25''
Patrick Baldwin Jr.,SF,8.90%,8.75,9.5,6' 9.25'',6' 10.25'',9' 2.50'',230.8,7' 1.75''
Paolo Banchero,PF,-%,-,-,,,,-,
Dominick Barlow,PF,5.90%,9,10.5,6' 8.75'',6' 9.75'',9' 0.50'',221,7' 3.00''
MarJon Beauchamp,SG,5.30%,9,9,6' 5.25'',6' 6.50'',8' 10.00'',196.6,7' 0.75''
Hugo Besson,SG,8.80%,7.5,8.5,6' 4.50'',6' 5.75'',8' 6.00'',180.4,6' 5.50''
Malaki Branham,SG,6.10%,8.5,9.75,6' 4.00'',6' 5.50'',8' 6.50'',194.8,6' 10.00''
Christian Braun,SG,6.20%,8,8.5,6' 5.50'',6' 7.00'',8' 3.50'',209.2,6' 6.50''
Kendall Brown,SF,4.90%,9,9,6' 6.25'',6' 7.50'',8' 7.00'',201.2,6' 11.00''
John Butler Jr.,PF,4.70%,8.5,8.75,6' 11.75'',7' 0.75'',9' 4.00'',174.4,7' 2.25''
Julian Champagnie,SF,7.10%,8.75,9.25,6' 6.25'',6' 7.75'',8' 11.00'',212.4,6' 10.00''
Kennedy Chandler,PG,4.40%,8.5,9.5,5' 11.50'',6' 0.50'',8' 1.00'',172.2,6' 5.25''
Max Christie,SG,4.80%,8,8.5,6' 4.25'',6' 5.75'',8' 6.50'',189.2,6' 8.75''
Kofi Cockburn,C,8.20%,9.75,10.25,6' 11.00'',7' 0.00'',9' 2.50'',293,7' 4.25''
Dyson Daniels,SG,4.90%,8.5,9.75,6' 6.00'',6' 7.50'',8' 9.00'',195.2,6' 10.50''
Johnny Davis,PG,6.70%,8.5,10.25,6' 4.25'',6' 5.75'',8' 7.50'',196.4,6' 8.50''
JD Davison,PG,7.80%,8.5,9.5,6' 0.50'',6' 2.50'',8' 3.50'',191.8,6' 6.50''
Darius Days,SF-PF,-%,-,-,,,,-,
Moussa Diabate,C,2.70%,8.5,10.5,6' 9.25'',6' 10.25'',9' 1.50'',216.6,7' 2.50''
Ousmane Dieng,SF,-%,-,-,,,,-,
Khalifa Diop,C,-%,-,-,,,,-,
Jalen Duren,C,-%,-,-,,,,-,
Tari Eason,PF,5.90%,9.25,11,6' 6.75'',6' 8.00'',8' 11.50'',217.4,7' 2.00''
Keon Ellis,SG,3.80%,8,9.25,6' 3.50'',6' 4.75'',8' 6.00'',167.4,6' 8.50''
Michael Foster Jr.,C,6.20%,8.75,10,6' 7.75'',6' 9.25'',9' 1.50'',236.6,7' 0.25''
Collin Gillespie,PG,8.60%,8.25,9,6' 1.50'',6' 2.75'',8' 2.00'',195.8,6' 4.00''
AJ Griffin,SF,-%,-,-,,,,-,
Jaden Hardy,SG,-%,-,-,,,,-,
Ron Harper Jr.,SF,14.30%,9.5,10,6' 4.00'',6' 5.50'',8' 9.50'',240.4,7' 1.25''
Chet Holmgren,PF,-%,-,-,,,,-,
Harrison Ingram,SF,8.30%,9,10,6' 5.25'',6' 7.00'',8' 7.50'',232.8,7' 0.25''
Jaden Ivey,PG,-%,-,-,,,,-,
Trayce Jackson-Davis,C,-%,-,-,,,,-,
Nikola Jovic,SF,7.40%,8.75,9.75,6' 9.50'',6' 11.00'',9' 0.50'',222.6,7' 0.25''
Johnny Juzang,SG,7.50%,8.5,9.5,6' 5.25'',6' 6.50'',8' 6.50'',208.6,6' 11.00''
Ismael Kamagate,PF,-%,-,-,,,,-,
Trevor Keels,SG,13.50%,8.25,9,6' 3.25'',6' 4.75'',8' 5.00'',223.8,6' 7.25''
Walker Kessler,C,14.70%,8.5,8.5,7' 0.25'',7' 1.00'',9' 5.00'',256,7' 4.25''
Christian Koloko,C,5.70%,9,10.75,6' 10.75'',7' 0.00'',9' 5.00'',221,7' 5.25''
Jake LaRavia,PF,9.00%,8.5,10.25,6' 6.75'',6' 8.00'',8' 8.00'',227.2,6' 9.50''
Justin Lewis,PF,7.30%,9,10.5,6' 6.25'',6' 7.50'',8' 9.50'',235.4,7' 2.50''
E.J. Liddell,PF,12.20%,8.25,9.25,6' 5.50'',6' 7.00'',8' 7.50'',243,6' 11.75''
Kenneth Lofton Jr.,PF-C,-%,-,-,,,,-,
Tyrese Martin,SG-SF,-%,-,-,,,,-,
Bennedict Mathurin,SG,5.70%,8.5,9.75,6' 4.50'',6' 6.00'',8' 8.00'',204.6,6' 9.00''
Matthew Mayer,SF,11.10%,9,10.25,6' 8.00'',6' 9.25'',8' 9.00'',216.4,6' 10.50''
Bryce McGowens,SG,5.40%,8.75,9.5,6' 5.25'',6' 6.50'',8' 7.50'',181.2,6' 8.75''
Leonard Miller,SF,5.70%,9.25,10.5,6' 8.50'',6' 10.00'',8' 10.50'',211,7' 2.00''
Josh Minnott,PF,-%,-,-,,,,-,
Aminu Mohammed,SG-SF,5.10%,8.75,9.5,6' 3.50'',6' 5.00'',8' 8.00'',212.8,6' 11.00''
Iverson Molinar,PG,4.80%,8.5,9.5,6' 2.25'',6' 3.25'',8' 5.00'',183.2,6' 8.00''
Jean Montero,PG,7.40%,8,8.75,6' 1.00'',6' 2.25'',8' 2.50'',171.8,6' 5.25''
Wendell Moore,SG,7.50%,8.75,10.25,6' 4.25'',6' 5.50'',8' 5.00'',217.2,7' 0.50''
Keegan Murray,PF,-%,-,-,,,,-,
Andrew Nembhard,PG,4.40%,8,9.5,6' 3.00'',6' 4.50'',8' 3.00'',195.6,6' 5.75''
Scotty Pippen Jr.,PG,5.30%,7.75,9,6' 0.00'',6' 1.50'',7' 11.50'',180,6' 5.75''
Gabriele Procida,SG-SF,3.80%,8,9.25,6' 5.75'',6' 7.75'',8' 10.00'',192.8,6' 8.00''
Jared Rhoden,SG-SF,-%,-,-,,,,-,
Orlando Robinson,C,9.50%,8.75,10,6' 9.75'',6' 11.00'',9' 3.00'',244.4,7' 4.00''
David Roddy,PF,11.60%,8.75,10,6' 4.50'',6' 6.00'',8' 9.00'',260.8,6' 11.50''
Ryan Rollins,SG,5.00%,8,8.5,6' 2.00'',6' 3.25'',8' 4.50'',179.2,6' 9.75''
Marcus Sasser,PG,-%,-,-,,,,-,
Dereon Seabron,SG,4.00%,8.5,9.5,6' 4.75'',6' 5.75'',8' 7.50'',182.4,6' 8.75''
Shaedon Sharpe,SG,4.80%,9,9.25,6' 4.25'',6' 5.25'',8' 7.50'',198,6' 11.50''
Terquavion Smith,SG,3.80%,8.5,8,6' 2.25'',6' 3.75'',8' 2.00'',165.2,6' 6.50''
Jabari Smith,PF,-%,-,-,,,,-,
Jeremy Sochan,PF,-%,-,-,,,,-,
Matteo Spagnolo,PG,8.60%,8.25,10,6' 4.00'',6' 5.50'',8' 6.00'',196.2,6' 8.00''
Julian Strawther,SF,7.90%,8.25,8.5,6' 5.75'',6' 7.00'',8' 8.50'',207.6,6' 9.50''
Dalen Terry,SG,5.40%,8.5,9,6' 6.00'',6' 7.25'',8' 10.00'',195.2,7' 0.75''
Drew Timme,C,15.70%,9,10,6' 8.25'',6' 9.25'',8' 11.50'',231.6,7' 2.00''
Jabari Walker,PF,12.10%,8.75,9.75,6' 6.75'',6' 8.00'',8' 9.00'',213.8,6' 10.75''
TyTy Washington Jr.,SG,12.00%,8.5,9.25,6' 2.25'',6' 3.75'',8' 3.50'',196.4,6' 8.00''
Peyton Watson,SF,5.20%,8.5,9.5,6' 6.75'',6' 8.00'',8' 11.50'',203.4,7' 0.50''
Blake Wesley,SG,5.60%,8.25,9,6' 3.00'',6' 4.25'',8' 7.00'',187.2,6' 9.25''
Alondes Williams,SG,7.20%,8.5,9.25,6' 3.75'',6' 5.00'',8' 6.00'',209,6' 7.00''
Jalen Williams,SG,8.90%,8.5,9.5,6' 4.50'',6' 5.75'',8' 9.50'',209.2,7' 2.25''
Jaylin Williams,C,8.00%,8.5,10.5,6' 8.75'',6' 10.00'',9' 0.50'',236.6,7' 1.00''
Trevion Williams,C,10.80%,9,10.25,6' 7.25'',6' 8.75'',9' 0.50'',264.6,7' 2.75''
Bryson Williams,PF-C,-%,-,-,,,,-,
Mark Williams,C,5.40%,9,9.75,7' 0.00'',7' 2.00'',9' 9.00'',242.4,7' 6.50''
Jalen Wilson,SF-PF,-%,-,-,,,,-,
Fanbo Zeng,SF-PF,-%,-,-,,,,-,
Max Abmas,PG,5.50%,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75''
Ochai Agbaji,SG,4.15%,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0''
Marcus Bagley,SF,7.50%,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0''
Scottie Barnes,SF,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75''
Charles Bassey,C,5.90%,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0''
Brandon Boston Jr.,SF,6.00%,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75''
James Bouknight,SG,5.50%,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25''
Greg Brown III,PF,5.50%,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25''
Jared Butler,PG,5.10%,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0''
Julian Champagnie,SF,8.00%,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0''
Justin Champagnie,PF,6.30%,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5''
Josh Christopher,SG,5.80%,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25''
Sharife Cooper,PG,-%,-,-,,,,-,
Cade Cunningham,PG,-%,-,-,,,,-,
Ayo Dosunmu,SG,4.90%,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25''
David Duke Jr.,SG,5.90%,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75''
Kessler Edwards,PF,4.30%,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25''
Luka Garza,C,11.70%,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5''
RaiQuan Gray,PF,17.30%,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75''
Jalen Green,SG,-%,-,-,,,,-,
Quentin Grimes,SG,6.60%,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0''
Sam Hauser,SF,7.90%,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25''
Aaron Henry,SF,5.60%,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75''
Ariel Hukporti,C,8.10%,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5''
Matt Hurt,PF,15.20%,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5''
Nah'Shon Hyland,SG,5.80%,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25''
