,,,,,,,,
PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)",Year
Trey Alexander,SG,11.6,-,3.35,29.5,34,-,2023
Ochai Agbaji,SG,10.77,3.11,3.13,32,39,-,2022
Patrick Baldwin Jr.,SF,12.25,3.3,3.45,23.5,26.5,-,2022
Paolo Banchero,PF,-,-,-,-,-,-,2022
Dominick Barlow,PF,11.29,3.19,3.33,28.5,34,-,2022
MarJon Beauchamp,SG,-,-,-,-,-,-,2022
Hugo Besson,SG,11.36,3.25,3.4,24.5,31.5,-,2022
Malaki Branham,SG,11.38,3.09,3.17,29,35,-,2022
Christian Braun,SG,11,3.13,3.16,33.5,40,-,2022
Kendall Brown,SF,11.57,3.05,3.29,31.5,41,-,2022
John Butler Jr.,PF,11.16,3.04,3.33,26.5,28.5,-,2022
Julian Champagnie,SF,11.39,3.04,3.14,28.5,34.5,-,2022
Kennedy Chandler,PG,10.73,2.89,-,31,41.5,-,2022
Max Christie,SG,10.82,3.02,3.07,32,37.5,-,2022
Kofi Cockburn,C,12.11,3.31,3.33,29.5,32.5,-,2022
Dyson Daniels,SG,10.81,2.81,3.22,29,34,-,2022
Johnny Davis,PG,-,-,-,-,-,-,2022
JD Davison,PG,11.38,3.23,3.26,30,37,-,2022
Darius Days,SF-PF,-,-,-,-,-,-,2022
Moussa Diabate,C,11.16,2.9,3.26,29,36.5,-,2022
Ousmane Dieng,SF,-,-,-,-,-,-,2022
Khalifa Diop,C,-,-,-,-,-,-,2022
Jalen Duren,C,-,-,-,-,-,-,2022
Tari Eason,PF,-,-,-,-,-,-,2022
Keon Ellis,SG,10.87,3.02,3.18,28,35.5,-,2022
Michael Foster Jr.,C,11.49,3.1,3.22,28,32.5,-,2022
Collin Gillespie,PG,10.95,3.01,3.21,26.5,33,-,2022
AJ Griffin,SF,-,-,-,-,-,-,2022
Jaden Hardy,SG,-,-,-,-,-,-,2022
Ron Harper Jr.,SF,11.41,3.24,3.4,26,30.5,-,2022
Chet Holmgren,PF,-,-,-,-,-,-,2022
